kepid,kepoi_name,koi_period,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_model_snr,koi_disposition,planet_probability,prediction,prediction_label
8013419,K00901.01,12.732624065,6465.7,2.2083,4.87,432.0,8.22,3950.0,0.541,210.5,CANDIDATE,0.8530461,1,Likely Planet
4274548,K01331.01,6.80082032,699.9,1.9883,1.88,697.0,55.83,4805.0,0.688,25.5,CANDIDATE,0.8619324,1,Likely Planet
9427402,K01397.01,6.247030799,1496.6,1.4848,1.89,512.0,16.23,3821.0,0.487,44.8,CANDIDATE,0.87789094,1,Likely Planet
4276716,K01619.01,20.6654374,100.4,3.172,0.66,487.0,13.35,4830.0,0.676,13.6,CANDIDATE,0.8600068,1,Likely Planet
5080636,K01843.02,6.35585682,176.6,1.55,0.86,503.0,15.1,3706.0,0.522,9.2,CANDIDATE,0.87940127,1,Likely Planet
4242147,K01934.01,28.78270955,864.5,3.451,2.11,443.0,9.09,4774.0,0.745,40.1,CANDIDATE,0.85035694,1,Likely Planet
4349442,K01803.01,4.539297295,798.1,1.9455,2.34,830.0,112.09,4914.0,0.724,50.3,CANDIDATE,0.85004705,1,Likely Planet
8261920,K02174.01,6.69332825,781.8,2.311,2.44,609.0,32.54,4245.0,0.637,23.4,CANDIDATE,0.85383904,1,Likely Planet
4047631,K02519.01,4.790912471,360.7,0.5134,2.25,717.0,62.51,4359.0,0.676,17.6,CANDIDATE,0.85318005,1,Likely Planet
8631751,K02453.01,1.530515205,659.7,0.5945,0.84,608.0,32.46,3462.0,0.259,23.2,CANDIDATE,0.8757877,1,Likely Planet
4172746,K02531.01,17.6997392,752.7,2.76,1.96,523.0,17.73,4807.0,0.742,19.8,CANDIDATE,0.86086434,1,Likely Planet
6679295,K02862.01,24.5752524,1003.4,2.258,1.64,316.0,2.35,3678.0,0.512,12.1,CANDIDATE,0.87821597,1,Likely Planet
2973386,K03034.01,31.0209175,859.5,2.012,1.66,291.0,1.7,3720.0,0.48,15.1,CANDIDATE,0.87577546,1,Likely Planet
10395543,K00531.01,3.687469832,5057.6,1.0668,5.78,690.0,53.6,4004.0,0.606,363.9,CANDIDATE,0.8722667,1,Likely Planet
10717241,K00430.02,9.340538,200.8,2.57,0.84,530.0,18.69,4200.0,0.607,11.1,CANDIDATE,0.85917944,1,Likely Planet
8216763,K04838.03,24.0721647,177.3,3.171,1.1,400.0,6.08,4352.0,0.613,6.7,CANDIDATE,0.8659541,1,Likely Planet
2302997,K07630.01,16.2982201,199.0,2.558,0.78,388.0,5.38,3905.0,0.521,7.9,CANDIDATE,0.8718374,1,Likely Planet
11284772,K04622.02,4.50158249,175.7,1.855,0.73,676.0,49.21,4339.0,0.553,9.7,CANDIDATE,0.8645742,1,Likely Planet
